	Coexpression	CC-124 Dark anoxic .5 hour	CC-124 Dark anoxic 6 hours	CC-124 Light oxic	crr1 Dark oxic .5 hour	crr1 Dark oxic 6 hours (1)	crr1 Dark oxic 6 hours (2)	crr1 Light oxic (1)	crr1 Light oxic (2)	crr1:CRR1 Dark anoxic .5 hour (1)	crr1:CRR1 Dark anoxic .5 hour (2)	crr1:CRR1 Dark anoxic 6 hours (1)	crr1:CRR1 Dark anoxic 6 hours (2)	crr1:CRR1 Light oxic (1)	crr1:CRR1 Light oxic (2)	crr1dCys Dark anoxic .5 hour (1)	crr1dCys Dark anoxic .5 hour (2)	crr1dCys Dark anoxic 6 hours (1)	crr1dCys Dark anoxic 6 hours (2)	crr1dCys Light oxic (1)	crr1dCys Light oxic (2)	defline
Cre09.g414416	0.883445	0.789862	0.197205	0.81346	2.18679	0.225159	0.148535	3.35944	2.62214	3.16107	2.34477	0.0238829	0.303698	2.64841	2.52134	1.95818	1.82995	0.250216	0.0966712	1.88716	2.30043	Chitinase-like hydrolase
Cre07.g317250	0.882264	4.25686	3.50328	7.16164	8.43995	4.84045	4.11809	8.68651	9.42573	8.07627	6.89336	2.78541	4.28768	9.61228	8.01133	6.8737	7.43927	6.09411	4.35448	14.2185	10.3886	
Cre17.g719701	0.876813	4.66339	3.04342	4.51271	5.98715	2.37982	3.34574	5.33503	5.67992	6.06812	7.16655	1.36082	3.12772	6.62437	6.14415	5.82468	6.40207	4.31555	3.41079	6.22605	5.4863	(1 of 1) PTHR10795//PTHR10795:SF403 - PROPROTEIN CONVERTASE SUBTILISIN/KEXIN // SUBFAMILY NOT NAMED
Cre19.g750447	0.875301	5.83534	4.89262	6.513	10.4038	6.80087	6.32178	8.53546	7.77552	7.34065	8.55849	4.63436	5.85833	8.7151	7.45255	8.37526	8.20785	5.66466	5.19862	9.15007	8.58842	
Cre01.g022700	0.871123	1.17045	0.365779	0.977375	3.27423	1.56596	0.982362	3.35331	4.43522	2.55555	2.38495	0.300392	0.932785	3.41878	3.9562	2.15586	2.06347	0.691981	0.71529	3.78292	3.69685	
Cre10.g463450	0.870355	5.84273	3.24637	4.44	7.64824	3.49708	3.48762	6.75593	5.55165	9.29794	7.64265	2.06275	2.75947	5.32308	6.52141	6.86433	6.96517	3.7181	4.01082	6.44411	8.08239	Glycerol-3-phosphate dehydrogenase/dihydroxyacetone-3-phosphate reductase
Cre10.g421700	0.870305	26.724	11.4101	16.3205	37.0222	16.3064	15.1018	30.0526	27.8432	46.77	33.0713	1.36064	11.0315	23.4592	25.8323	37.6882	36.8172	16.8737	13.424	33.9693	34.1704	
Cre02.g142050	0.869907	3.4417	3.13206	3.30666	5.89376	3.83958	4.51498	6.15213	6.08608	10.2217	8.21085	1.88461	4.28807	7.05886	7.34035	9.13515	9.3936	5.16031	5.81547	6.83583	7.78368	Alpha tubulin 1
Cre03.g190950	0.868449	948.214	433.34	847.525	1264.96	593.151	489.491	1040	827.032	1652.82	1105.38	177.671	386.323	851.877	993.192	1450.91	1323.65	690.841	600.062	1113.77	1032.39	(1 of 55) PF00651 - BTB/POZ domain (BTB)
Cre03.g174200	0.86729	3.91283	2.20949	2.46227	7.07583	3.28472	3.15434	4.90029	5.09034	6.07176	4.73771	1.77165	3.32752	3.9128	4.3058	6.19195	6.53824	4.43718	2.95757	5.05081	4.90114	C2-domain containing protein
Cre01.g001983	0.864917	35.5226	26.4482	38.7785	95.192	64.5923	54.3506	81.7238	91.2826	87.862	82.141	18.9719	47.5017	59.5588	84.0862	71.5288	55.7082	43.094	40.3575	89.9786	77.1253	Calpain family cysteine protease
Cre02.g112300	0.864746	6.09098	1.42052	4.00571	12.074	2.91793	3.34945	9.21318	5.9596	10.8997	11.1074	0.543754	2.91305	7.63788	6.67492	14.2961	17.3536	5.47535	5.45379	9.81467	11.1571	
Cre12.g535250	0.860366	1.03331	0.656641	0.637296	1.74566	0.295262	0.216653	1.05281	1.40823	1.58288	2.95455	0.396699	0.790097	2.797	1.65176	2.60714	1.63297	0.811856	0.252601	4.97871	2.29989	Calmodulin-like protein
Cre03.g184250	0.860003	6.21514	0.93692	8.4048	23.2291	7.80127	4.84139	34.7567	27.5906	24.262	30.4365	0.169458	3.33623	41.8203	32.7419	30.788	20.7225	10.3598	15.0626	45.0658	27.0377	(1 of 1) K14016 - ubiquitin fusion degradation protein 1 (UFD1)
Cre14.g613350	0.858849	9.30897	6.73961	8.28361	12.5076	9.74227	7.8083	11.7742	10.3509	12.0177	10.8012	4.47289	8.40706	11.7817	10.0172	11.9444	11.0619	11.2894	10.2425	12.5071	12.9415	
Cre17.g726900	0.858096	5.79298	2.36295	5.1326	6.30495	3.95333	4.36391	7.11444	6.0416	7.7958	6.8014	2.40512	2.87741	7.04452	6.05475	7.13387	7.60725	4.38514	4.04321	7.13047	7.73836	ATP-dependent DNA helicase
Cre12.g542450	0.856412	2.99818	3.4424	3.12067	4.6462	2.64495	3.28318	6.36218	6.37345	5.47431	3.9974	1.40326	1.93449	5.42495	7.23872	6.39493	6.76571	4.06887	4.06548	8.40465	7.80033	(1 of 25) PF00293 - NUDIX domain (NUDIX)
Cre12.g551800	0.855106	21.8562	6.38326	19.6816	32.2168	6.79953	6.7283	41.6446	27.6609	27.194	37.4176	0.257189	6.49552	44.4739	27.5099	48.1051	42.0408	13.7988	14.001	51.9796	49.1308	Flagellar Associated Protein 174
Cre02.g105950	0.853123	40.1589	39.8924	35.2701	59.1527	39.5331	36.133	43.1966	46.5593	63.6987	53.5981	26.172	34.6508	48.5226	46.8042	55.1679	53.0485	46.3639	42.5224	49.3171	43.3139	(1 of 1) PTHR10374//PTHR10374:SF18 - LACTOYLGLUTATHIONE LYASE  GLYOXALASE I // SUBFAMILY NOT NAMED
Cre16.g678200	0.85178	14.4935	4.97706	6.44136	22.6493	8.83656	11.8417	20.0587	18.7406	23.8114	17.8563	3.88348	8.69082	15.5911	16.0259	23.9374	21.0566	9.22675	7.51747	14.6008	15.722	(1 of 7) PF10162 - G8 domain (G8)
Cre17.g740050	0.851339	0.287041	0.0984068	0.283872	6.11753	1.69098	1.15275	2.13138	3.17285	8.12108	6.96716	0.0242892	1.70742	4.01889	3.63879	8.39841	4.84635	6.54959	1.98177	9.29494	4.4381	Zinc/iron transporter
Cre03.g189550	0.846208	11.1827	8.59198	11.5896	13.9655	6.12373	7.44848	19.9324	16.5448	15.8794	13.1537	4.8206	5.85751	18.044	18.0516	14.9946	16.2928	11.0792	10.2578	24.8498	23.334	(1 of 33) PTHR10157 - DOPAMINE BETA HYDROXYLASE RELATED
Cre05.g236350	0.845922	0.355415	0.198851	0.281489	0.448819	0.156519	0.230859	0.421823	0.427939	0.558729	0.38235	0.0932711	0.27594	0.338043	0.327425	0.39582	0.412622	0.254888	0.160164	0.399662	0.360873	Dihydrolipoyl dehydrogenase
Cre18.g749847	0.8448	62.3238	37.5438	55.9749	68.9766	37.1329	36.0408	76.4175	69.4853	75.2892	60.2139	17.6208	26.6398	62.4814	69.7722	72.4643	72.3564	29.2925	34.3327	72.6966	77.8511	FtsH-like membrane ATPase/metalloprotease
Cre12.g485800	0.843487	54.4421	32.5376	61.1174	78.9273	50.0597	40.1789	72.9992	81.7632	72.7954	66.037	34.5984	44.147	67.1957	74.8242	66.9254	66.6088	36.5273	38.4695	84.5872	86.9745	(1 of 1) PTHR26402:SF465 - TWO-COMPONENT RESPONSE REGULATOR-LIKE APRR1-RELATED
Cre16.g676421	0.843001	14.7185	0.588576	9.70185	21.2296	1.41329	1.9313	14.964	11.9477	20.5849	20.3877	0.0567503	0.790176	10.8171	10.8292	22.3688	23.5772	2.03718	0.557157	10.2468	12.4024	Glycosyl transferase
Cre02.g118801	0.840896	0.334079	0.246611	0.387183	0.812658	0.395427	0.267746	0.472062	0.448741	0.715471	0.425045	0.159645	0.39446	0.612102	0.493459	0.442395	0.711302	0.335641	0.498709	1.00493	0.72637	(1 of 13) PF05050 - Methyltransferase FkbM domain (Methyltransf_21)
Cre09.g401256	0.840427	3.74389	3.16419	3.42047	5.06218	3.24526	3.70211	4.08566	3.75263	6.29528	5.11772	1.22392	2.40087	4.36119	4.1629	7.28558	5.84976	4.73026	3.94461	4.89681	5.42573	Matrix metalloproteinase
Cre09.g407050	0.839225	1.59655	0.758006	1.50528	4.62196	3.13294	1.67235	3.76715	3.72866	5.90143	5.82592	0.0724023	2.64058	5.97158	5.34705	5.46811	2.78641	2.71137	1.53847	4.9204	2.40354	Proteasome maturation factor
Cre16.g665000	0.838787	33.5966	16.3716	40.0313	45.0915	19.3523	19.1215	49.9719	39.4191	50.346	50.1443	14.6217	18.179	55.9009	40.8395	53.1567	52.5882	32.7689	32.8529	55.3813	61.1826	Scavenger receptor cysteine rich (SRCR) protein
Cre13.g591550	0.838377	2.76214	0.753469	1.94355	5.34267	1.62317	1.31829	2.63606	3.7055	5.99311	12.1021	0.0698966	5.07112	6.52131	3.6995	8.29565	3.04923	3.34736	1.26587	8.12249	2.67343	
Cre03.g152600	0.838283	2.295	1.7226	2.12459	4.20447	3.02527	2.43485	4.71592	4.95861	5.33941	3.54786	0.625106	3.05364	5.33351	5.12271	3.68887	2.38794	3.69798	2.31156	6.51635	3.19684	(1 of 17) PF12906 - RING-variant domain (RINGv)
Cre03.g206481	0.837898	2.46547	0.548807	1.6698	5.72489	2.76701	2.43368	5.03714	5.14792	5.21815	4.70313	0.781894	1.72033	5.28812	4.16508	5.78399	4.12664	3.38971	2.51877	4.67378	4.7165	(1 of 1) PTHR13516 - RIBONUCLEASE P SUBUNIT P25
Cre09.g409500	0.836459	27.3138	7.32842	18.0206	44.5732	10.5927	7.45948	23.3043	20.6658	37.3741	28.8086	1.0798	6.36233	18.0467	17.7891	34.1898	37.9892	8.61647	8.71045	22.2198	30.8825	Low-CO2-inducible protein
Cre09.g394473	0.835817	10.7393	0.237705	18.4321	78.4586	3.171	1.50548	89.4728	102.025	47.1175	25.3167	0.899999	1.22615	47.8654	77.1236	73.2683	66.3072	4.23146	2.70467	108.202	93.8865	(1 of 1) KOG3377 - Uncharacterized conserved protein
Cre12.g551900	0.835045	23.9938	7.91223	33.7143	32.3333	11.707	11.3766	53.5299	44.1131	40.167	27.7649	2.56631	6.44191	42.7379	41.3735	31.6112	25.9545	15.3047	16.7255	59.9995	57.1048	
Cre16.g694403	0.834655	6.13253	5.25573	6.50826	8.92457	6.7116	6.74084	6.78678	7.43341	9.634	9.36822	4.076	5.96058	7.58674	8.89173	9.4838	8.9993	7.72	7.1242	7.36525	7.88199	Ubiquitin-associated protein
Cre01.g023050	0.83378	6.31764	4.6167	9.4997	9.27586	7.17191	5.54157	10.4122	9.00251	10.7518	9.10932	4.05625	5.40076	11.2223	9.9826	8.84445	7.97145	6.47371	6.47971	10.2247	11.7097	
Cre12.g520900	0.832596	1.16052	0.274538	1.07381	4.21	1.12465	0.96766	3.01167	2.17426	4.79044	3.0433	0.266751	0.72915	1.86093	2.26707	3.87246	4.73133	0.972727	1.16301	1.92324	2.22513	(1 of 2) PF01918 - Alba (Alba)
Cre09.g401600	0.832009	22.2937	7.9274	26.8643	26.453	7.74385	7.93531	34.0934	20.1035	29.997	29.169	1.77479	4.25875	37.4525	24.2366	37.4209	45.7619	14.5252	13.4169	35.4141	40.7154	membrane AAA-metalloprotease, chloroplast
Cre17.g720050	0.831438	66.7364	50.3418	68.1376	100.703	78.5911	60.7123	99.9848	102.673	87.2138	75.7039	57.9393	68.7825	89.5113	97.9715	87.912	86.8965	67.1564	67.2762	124.441	115.797	undefined
