	Coexpression	CC-124 Dark anoxic .5 hour	CC-124 Dark anoxic 6 hours	CC-124 Light oxic	crr1 Dark oxic .5 hour	crr1 Dark oxic 6 hours (1)	crr1 Dark oxic 6 hours (2)	crr1 Light oxic (1)	crr1 Light oxic (2)	crr1:CRR1 Dark anoxic .5 hour (1)	crr1:CRR1 Dark anoxic .5 hour (2)	crr1:CRR1 Dark anoxic 6 hours (1)	crr1:CRR1 Dark anoxic 6 hours (2)	crr1:CRR1 Light oxic (1)	crr1:CRR1 Light oxic (2)	crr1dCys Dark anoxic .5 hour (1)	crr1dCys Dark anoxic .5 hour (2)	crr1dCys Dark anoxic 6 hours (1)	crr1dCys Dark anoxic 6 hours (2)	crr1dCys Light oxic (1)	crr1dCys Light oxic (2)	defline
Cre17.g728650	0.787244	12.9187	10.3133	8.22774	12.6084	7.25109	6.34397	6.72523	6.90241	15.356	12.5252	1.95672	6.92787	7.67305	7.2567	14.0343	14.3307	8.08385	6.99912	8.6825	7.0062	Flagellar Associated Protein 196
Cre13.g572600	0.786252	61.0674	23.6112	13.7888	12.7476	4.06186	1.98987	1.31265	1.58798	11.2722	7.38071	0.0399041	2.39934	1.13088	1.15213	9.07381	10.4659	5.44528	4.20051	2.13065	2.72103	(1 of 61) 2.1.1.43 - Histone-lysine N-methyltransferase / Protein-lysine N-methyltransferase
Cre09.g394213	0.784821	31.3463	28.3459	25.4701	38.1944	18.0693	13.05	21.6781	23.2489	42.9628	31.6564	11.5395	16.9326	24.574	24.7165	31.8522	27.5742	23.5588	20.6063	23.9282	18.6783	Dynein Light Chain
Cre11.g476850	0.78288	21.896	23.2805	15.2076	22.242	18.1655	13.8857	16.8842	17.3034	23.7955	17.7769	9.7111	15.8374	15.4329	16.6893	17.0924	15.4694	13.4075	10.4173	16.684	13.6916	Nexin-dynein regulatory complex  4
Cre01.g032139	0.780624	5.88971	4.50565	4.09667	3.93329	2.01116	1.79345	3.24023	2.94995	4.21027	4.55536	1.68929	3.52431	3.15303	3.85952	4.89358	3.58697	2.5602	2.71	3.55805	4.36943	(1 of 9) PTHR22850 - WD40 REPEAT FAMILY
Cre16.g670756	0.775586	1.68033	2.53159	1.2868	1.19429	0.896079	0.43022	1.01658	1.14566	1.09938	0.945084	0.046735	0.5375	0.785455	0.934196	0.863942	0.881145	0.867196	0.528457	1.85301	0.832852	
Cre12.g506000	0.773397	48.2813	45.4501	36.1782	52.8164	31.5109	23.6537	30.2505	31.3757	62.2636	39.1616	13.5162	21.0132	21.5107	32.0858	41.4651	38.7379	23.7063	16.8085	27.9354	21.7822	Flagellar Outer Arm Dynein Intermediate Chain 2
Cre01.g053700	0.766393	0.856562	1.70043	0.733153	0.361543	0.576126	0.364832	0.111875	0.27442	0.442184	0.301416	0.0583012	0.625144	0.229514	0.321561	0.630991	0.357984	0.684265	0.367572	0.301166	0.248542	(1 of 5) KOG0500 - Cyclic nucleotide-gated cation channel CNGA1-3 and related proteins
Cre09.g397993	0.766386	12.1083	15.5329	11.1783	16.6186	13.2642	8.97191	8.07802	9.68861	18.6428	11.7215	3.74211	8.85299	7.29088	9.75533	13.5758	11.23	9.46061	7.59707	8.1452	6.71799	Leucine Rich Repeat Flagellar Associated Protein 201
Cre06.g281900	0.766152	11.3923	21.1376	11.6176	12.9386	8.26749	7.25921	9.874	9.16698	12.6543	11.2313	6.36861	17.031	9.36576	8.30207	11.641	11.0803	8.73111	10.1891	9.46711	10.3793	Zinc/iron transporter
Cre09.g386850	0.766057	12.3218	10.0197	9.02402	12.2942	7.23266	6.50314	8.25174	7.96738	12.291	10.5664	4.53267	5.48502	7.56995	8.89065	12.4387	12.2081	8.71171	6.73189	9.12653	7.83823	
Cre17.g723600	0.765631	21.0116	21.0908	14.2434	23.6767	15.3569	13.0254	13.2705	14.4579	28.5218	21.365	9.68384	13.4596	12.3447	15.515	20.3025	16.1065	13.3783	9.87392	14.1109	10.5183	Intraflagellar Transport Protein 81
Cre02.g120001	0.764581	0.319107	2.62357	0.0608557	0.360772	0.287219	0.216808	0.0514387	0.117481	0.554119	0.419402	0.0207521	0.300598	0.139821	0.132794	0.204018	0.184427	0.142656	0.111519	0.149361	0.0759088	
Cre04.g214209	0.763622	17.3642	25.5864	15.8645	16.0916	15.3195	9.96052	10.7663	10.4581	21.2524	14.0652	5.30832	12.4968	9.06414	10.319	15.3903	12.2749	13.9097	11.1865	7.73785	7.50578	
Cre13.g604501	0.76266	1.32984	1.17047	1.48092	1.00728	0.566157	0.295106	0.685218	0.581776	0.786491	0.797473	0.170592	0.726716	0.666634	0.514979	0.958245	1.06964	0.469453	0.499282	0.603952	0.890207	(1 of 30) PF04564 - U-box domain (U-box)
Cre01.g032400	0.761901	6.98502	11.8217	8.1078	8.24814	5.72961	4.75636	7.34057	5.26117	7.97207	6.42752	4.11707	5.03546	5.98518	5.86493	7.45795	7.45531	5.49474	5.26591	6.27332	7.42662	(1 of 1) PF05118 - Aspartyl/Asparaginyl beta-hydroxylase (Asp_Arg_Hydrox)
Cre12.g486700	0.760047	6.9532	7.25089	5.23634	7.50748	5.91665	5.62168	4.9693	5.5763	7.07611	5.81766	4.21399	4.5438	5.10091	4.78717	5.92118	6.01148	5.72522	4.41478	6.32072	5.2112	Flagellar Associated Protein 271
Cre11.g477100	0.7588	19.9798	20.3849	14.4432	23.5237	15.6333	11.8515	12.2263	13.5731	25.82	17.9742	7.21384	13.1889	10.9823	13.3802	18.7064	15.135	10.9029	9.50378	11.4889	8.77148	Flagellar Associated Protein 97
Cre09.g396700	0.758684	72.1767	21.3555	25.8552	41.1336	6.65986	5.76366	10.6042	10.4751	43.881	33.7572	0.87106	5.99657	13.6404	10.2911	37.899	40.8957	10.1979	7.90025	11.2491	14.9521	Acetate kinase
Cre01.g033450	0.757312	5.90263	1.82158	4.40486	1.18451	0.446404	0.335061	0.55954	0.713333	1.49283	1.79826	0.138352	0.565242	1.24761	0.697572	2.03671	0.928924	0.640808	0.491888	1.20018	0.871405	(1 of 100) PTHR12393:SF6 - SPHINGOMYELIN PHOSPHODIESTERASE 2
Cre05.g240200	0.754962	3.53575	1.75484	0.99587	1.41104	0.762589	0.486071	0.478983	0.428299	1.29991	1.20719	0.301806	0.847667	0.453484	0.230566	1.48287	0.915687	0.667773	0.426805	0.585574	0.622128	(1 of 4) PF12678 - RING-H2 zinc finger (zf-rbx1)
Cre08.g379900	0.752882	1.30206	2.61679	0.697104	1.41001	0.968518	0.939217	0.443885	0.619007	1.699	1.43779	0.162853	1.07096	0.406698	0.537066	1.6052	1.53	1.3296	1.16985	0.697083	0.739132	(1 of 1) PTHR21535//PTHR21535:SF42 - MAGNESIUM AND COBALT TRANSPORT PROTEIN/MITOCHONDRIAL IMPORT INNER MEMBRANE TRANSLOCASE SUBUNIT TIM8 // SUBFAMILY NOT NAMED
Cre12.g485000	0.752495	17.3089	19.1778	12.8838	19.6137	16.9702	11.581	15.6871	14.4283	22.2882	13.9192	7.44537	10.3515	13.538	14.9165	17.5805	14.4594	14.2179	11.194	20.0949	14.7916	Flagellar Associated Protein 182
Cre05.g246900	0.752204	72.6853	61.0644	47.5164	44.7865	28.3334	28.4454	39.141	30.0024	50.6363	41.0634	15.3105	27.6327	39.5613	36.0882	47.031	48.743	51.8292	45.2768	37.9247	42.4418	(1 of 2) PF13473 - Cupredoxin-like domain (Cupredoxin_1)
Cre14.g617250	0.751717	12.2972	10.0065	10.6627	12.1428	8.55201	5.5585	6.63296	8.00114	12.521	11.2705	5.55089	7.63351	7.26455	8.26057	10.7729	9.50026	8.56983	6.67951	6.59589	5.38629	Coiled-Coil Flagellar Associated Protein 282
Cre10.g450350	0.751577	35.6634	35.8561	28.7144	47.7762	28.9115	18.0013	21.8605	26.2203	57.564	37.6067	19.1681	24.7109	23.3905	27.361	36.1244	33.4717	30.3906	22.6762	23.9294	19.5255	Intraflagellar Transport Protein 25
Cre03.g162850	0.751262	53.4485	71.1381	33.4733	78.9756	62.7044	47.4839	44.6504	55.3417	95.6326	61.7954	17.7674	50.5789	44.9095	53.6667	83.4987	63.6583	59.8519	37.8996	59.0533	40.2881	Flagellar Associated Protein 292
Cre17.g737800	0.750794	28.374	29.6202	22.1234	12.193	13.9661	15.5752	5.77471	6.8875	17.2647	21.1143	0.872124	24.832	16.231	8.60409	29.8373	15.7201	22.7366	9.56936	25.832	9.7339	
Cre06.g274250	0.749674	0.156852	0.155825	0.110553	0.0170762	0.0102444	0.00223374	0.0138435	0.0174995	0.0361987	0.0167361	0.00576553	0.0262145	0.0187814	0.0489836	0.0188608	0.010184	0.0314206	0.0103011	0.0206266	0.00693506	Histone H2B
Cre02.g095072	0.747777	32.9113	29.0997	27.3693	41.012	22.1117	20.3741	22.0514	24.5575	43.3431	33.6219	17.0493	25.6486	25.2995	24.144	32.7525	24.551	23.5083	16.8392	24.5829	19.3213	Flagellar Associated Protein 144
Cre06.g264100	0.746811	11.7422	9.72951	4.23894	7.3584	5.61262	4.52298	5.23951	6.01713	7.11892	6.54799	3.43563	5.46828	7.88629	5.89598	7.47147	6.9017	7.45781	4.22779	12.5128	8.82042	
Cre02.g084450	0.746338	90.1208	178.713	25.2925	36.3132	18.1761	16.0361	27.982	21.1423	56.4127	38.9155	6.88061	123.83	21.8199	25.2409	33.4859	41.8172	43.7572	45.6682	19.7509	24.1926	Ornithine transaminase
Cre11.g474800	0.745182	17.9504	77.5125	12.4118	32.116	17.0419	17.2614	14.8628	18.0912	23.4372	18.8613	5.51972	20.3075	13.1822	14.4086	25.455	29.5639	23.9971	24.4378	18.6346	17.7722	(1 of 5) PTHR11439//PTHR11439:SF185 - GAG-POL-RELATED RETROTRANSPOSON // SUBFAMILY NOT NAMED
Cre16.g673450	0.742253	0.534068	0.856302	0.294953	0.611676	0.218286	0.234963	0.303567	0.183292	0.429806	0.406485	0.214723	0.2251	0.364486	0.294404	0.440185	0.467842	0.381038	0.315168	0.284798	0.300557	Flagellar Associated Protein 112
Cre02.g145850	0.74097	30.8009	31.5802	18.8961	30.7852	23.1997	18.6254	20.8101	24.5531	30.6887	22.6863	16.7971	22.7047	24.4317	19.8987	21.9586	18.5754	20.4155	15.2871	27.8976	18.6714	Intraflagellar transport protein 74/72
Cre01.g027950	0.740931	28.2184	28.4816	20.9898	37.7807	26.6551	18.5494	20.6603	21.2119	42.3286	30.5775	13.183	21.9664	18.428	21.3048	30.279	25.6258	20.9373	15.6401	20.6548	16.2615	
Cre08.g368026	0.739182	2.95884	6.637	2.40166	2.73346	1.9469	1.49948	1.48585	1.99406	2.02728	3.17123	0.967387	4.07797	2.78642	1.69334	2.04923	1.84604	2.27011	1.6533	1.65829	1.47129	Flagellar Outer Arm Dynein Light Chain 2
Cre12.g527750	0.737605	50.5781	39.5354	38.1322	54.031	29.1735	24.436	28.1814	33.2132	58.6249	41.4327	22.0363	27.1694	27.4231	31.1206	43.9149	41.8312	29.4798	24.262	28.4272	22.3121	Chlamydomonas-specific membrane protein family A
Cre16.g652350	0.737086	48.9512	23.065	29.8805	22.7647	9.52907	9.31446	8.14712	9.68802	23.3548	19.7721	4.82134	10.7095	11.2571	10.0766	18.6419	19.6545	12.6143	13.4462	9.96572	11.2092	(1 of 1) PTHR12788 - PROTEIN-TYROSINE SULFOTRANSFERASE 2
Cre10.g465450	0.737045	4.10001	3.76294	3.46106	3.32612	2.26442	2.23805	1.79747	1.84272	2.9282	3.52201	0.691487	2.32439	1.97309	1.68141	3.23049	3.20688	2.78629	2.66715	2.05195	2.51285	Flagellar Inner Arm Dynein I1/f Intermediate Chain
Cre16.g674515	0.734578	18.7634	19.604	13.8116	20.1169	14.5596	12.7144	12.8626	13.8191	23.2295	16.4176	7.25443	10.1567	12.2999	13.3728	16.3058	15.3341	9.52156	7.51723	13.9475	10.3436	undefined
